Column 1
"45,499"
"54,294"
"76,881"
0
"4,433"
"152,953"
"97,064"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"108,277"
"107,163"
"87,462"
"141,121"
"168,118"
"188,284"
"214,016"
"232,070"
"64,248"
"129,393"
"131,461"
"79,648"
"25,907"
"2,546"
"49,640"
"23,846"
0
-
-
"9,519,417"
"9,673,099"
"10,279,375"
"9,390,243"
"7,538,605"
"6,789,145"
"6,041,285"
"3,096,149"
"3,405,983"
"3,695,821"
"4,426,318"
"3,765,940"
"2,503,508"
"2,112,609"
"1,649,968"
"659,278"
"382,153"
-
-
"11,401,480"
"11,603,389"
"11,695,676"
"10,500,414"
"8,851,770"
"8,244,679"
"7,172,662"
"4,676,042"
"4,293,912"
"4,421,406"
"5,150,093"
"4,351,123"
"3,014,595"
"2,382,388"
"1,819,921"
"730,454"
"402,805"
"4,313"
"5,128"



















"1,221"
"1,164"
"1,150"
"1,146"
"1,144"
"1,142"
"1,137"
"1,379"
"1,374"
"1,361"
"1,248"
"1,162"
"1,018"
993
990
820
790
-
-
"921,785"
"635,067"
"95,097"
"55,332"
"164,487"
"66,130"
"44,775"
"36,368"
"9,042"
"-89,559"
"67,400"
"-143,899"
"-377,747"
"-395,161"
"-314,533"
"-108,947"
"-60,055"
-
-
"-1,950"
"-1,845"
"1,484"
"1,092"
"2,505"
"2,913"
"4,177"
840
889
"2,446"
"2,614"
"-2,905"
-94
"-15,784"
"5,928"
-871
"-14,771"
-
-
"2,034,123"
"947,846"
"157,949"
"-111,979"
"-28,779"
"-184,507"
"-259,037"
"2,089,022"
"2,237,948"
"3,034,338"
"1,592,522"
"1,948,159"
"1,645,585"
"1,562,895"
"1,644,291"
"1,001,815"
"991,613"
"384,230"
"381,956"
"13,216,269"
"12,681,739"
"11,953,557"
"10,522,259"
"9,062,861"
"8,377,030"
"7,276,594"
"6,899,496"
"6,674,497"
"7,581,769"
"6,742,615"
"6,299,282"
"4,660,180"
"3,945,283"
"3,464,212"
"1,733,323"
"1,398,601"
"388,543"
"387,084"
