Column 1
ttm












-
1.29
2.43
1.75
2.42
2.51
3.27
2.97
2.63
1.98
3.26
3.47
2.42
1.69
1.32
1.15
1.16
1.01
0.82
0.49
0.64
0.53
0.45
0.39
0.32
0.19
0.29
0.28
0.21
0.16
0.12
0.09
0.05
0.01
0.03
-
1.28
2.42
1.73
2.40
2.48
3.23
2.94
2.60
1.96
3.21
3.38
2.35
1.64
1.28
1.12
1.14
0.99
0.81
0.48
0.62
0.52
0.45
0.39
0.32
0.19
0.29
0.28
0.21
0.16
0.12
0.09
0.05
0.01
0.03



































-
"137,536"
"119,370"
"120,133"
"125,007"
"130,483"
"129,288"
"127,644"
"125,686"
"124,134"
"122,772"
"121,251"
"118,649"
"116,499"
"113,977"
"112,152"
"110,353"
"108,069"
"106,376"
"104,576"
"102,992"
"102,642"
"104,222"
"103,590"
"101,417"
"100,267"
"99,826"
"95,856"
"94,884"
"90,000"
"85,000"
"77,647"
"73,684"
"72,000"
"72,727"
-
"138,712"
"120,147"
"121,483"
"126,110"
"132,371"
"130,945"
"128,692"
"127,235"
"125,790"
"124,534"
"124,480"
"122,183"
"120,418"
"117,525"
"114,644"
"112,784"
"110,798"
"109,019"
"105,660"
"105,911"
"104,615"
"104,222"
"103,652"
"101,417"
"100,690"
"99,826"
"95,856"
"94,884"
"90,000"
"85,000"
"77,647"
"73,684"
"72,000"
"72,727"
-
"631,465"
"527,765"
"431,954"
"449,640"
"553,603"
"674,454"
"605,022"
"525,460"
"401,808"
"627,689"
"716,185"
"497,626"
"349,818"
"289,009"
"232,420"
"232,465"
"207,457"
"182,792"
"164,711"
"139,900"
"109,500"
"92,300"
"81,900"
"66,900"
"42,800"
"54,900"
"46,200"
"39,200"
"27,300"
"18,800"
"13,200"
"6,300"
"5,300"
"6,000"
