Column 1
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"43,030,000"
"44,037,100"
"39,982,700"
"38,673,700"
"37,813,700"
"34,809,300"
"35,152,700"
"28,730,600"
"26,354,300"
"27,262,100"
"26,971,500"
"29,069,600"
"27,184,000"
"26,412,100"
"20,279,400"
"7,438,700"
"6,930,800"
"4,216,600"
"3,788,700"
"3,155,300"
"2,656,700"





















"3,000"
"2,600"
"2,600"
"2,600"
"2,700"
"2,900"
"3,000"
"3,400"
"3,800"
"4,500"
"5,000"
"5,600"
"6,100"
"6,600"
"3,000"
"1,400"
"1,400"
"1,100"
-
-
-
"19,988,000"
"18,054,400"
"16,560,600"
"14,778,500"
"14,014,400"
"13,813,900"
"12,647,100"
"11,490,700"
"10,721,600"
"9,598,500"
"5,479,400"
"4,387,600"
"4,656,100"
"4,173,500"
"1,960,100"
"1,154,300"
"481,300"
"55,700"
-
-
-
"-986,000"
"-101,500"
"-267,900"
"-292,600"
"171,900"
"183,200"
"299,100"
"114,900"
"224,600"
"68,100"
"-895,700"
"156,100"
"50,100"
"-20,300"
"145,800"
"138,700"
"122,700"
"42,400"
-
-
-
"28,541,000"
"26,502,900"
"25,100,400"
"23,044,100"
"24,251,300"
"24,765,200"
"23,802,700"
"23,288,200"
"23,812,600"
"24,863,300"
"21,431,700"
"22,990,400"
"24,575,800"
"24,993,100"
"19,459,000"
"5,999,900"
"5,362,300"
"2,060,000"
"1,919,800"
"1,660,900"
"1,702,500"
"71,571,000"
"70,540,000"
"65,083,100"
"61,717,800"
"62,065,000"
"59,574,500"
"58,955,400"
"52,018,800"
"50,166,900"
"52,125,400"
"48,403,200"
"52,060,000"
"51,759,800"
"51,405,200"
"39,738,400"
"13,438,600"
"12,293,100"
"6,276,600"
"5,708,500"
"4,816,200"
"4,359,200"
