Ticker,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
DHR,92.44,79.28,69.49,64.97,57.94,43.57,36.65,35.77,28.48,21.9,32.65,27.23,21.45,21.31,17.19
DRI,96.32,72.09,62.75,52.31,47.74,40.65,40.26,41.81,31.34,26.45,23.86,35.77,35.05,24.37,18.71
DVA,72.54,66.31,68.67,75.83,64.78,54.6,38.67,34.66,29.96,24.55,27.75,27.75,25.91,19.68,13.17
EFX,119.54,119.34,109.45,81.32,68.45,54.74,38.43,36.24,31.47,27.65,35.07,40.36,38.12,28.66,23.97
ETFC,49.82,35.98,28.78,24.01,19.81,9.19,8.42,16.28,18.4,13.1,34.3,232.9,216.4,147,128.1
ETN,78.86,68.17,52.22,67.93,75.49,56.45,45.48,51.84,32.16,25.91,46.83,37.63,33.47,35.57,26.62
EW,111.58,96.54,78.84,63.86,32.96,46.07,35.42,39.63,21.87,14,11.3,12.01,10.58,10.19,7.49
EXPE,121.42,113.74,120.8,85.76,69.21,63.25,29.03,23.31,24.28,8.27,28.73,20,22.81,22.81,22.81
FAST,27.27,23.59,20.1,23.7,23.35,23.92,22.18,15.21,10.51,9.13,9.74,9.37,9.69,7.6,6.24
FIS,93.7,78.24,59.91,62.41,53,35.82,26.7,28.13,23.82,17.05,40.32,40.48,41.05,35.24,32.94
FISV,65.18,54.33,44.75,35.31,29.1,20.32,14.54,14.88,12.36,9.55,13.82,13.17,11.08,10.01,9.77
FITB,30.43,27.42,19.55,20.21,20.87,15.77,13.09,14.78,10.12,8.59,24.41,40.99,38.34,47.55,58.48
FLS,42.5,49.56,42.01,59.65,77.3,50.67,34.87,40.1,32.34,18.32,31.57,16.89,13.67,8.95,6.94
FRC,84.96,92.92,64.28,52.1,51.38,33.15,31.26,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98
GD,200.49,175.54,136.07,138.45,94.75,71.21,68.12,69.97,69.19,59.76,87.44,74.42,57.51,51.01,44.83
GL,90.21,74.65,56.32,54.16,51.62,35.03,28.97,26.97,19.89,19.95,26.44,28.67,24.83,25.24,20.25
GPC,96.58,97.12,84.03,106.52,81.92,65.15,61.73,52.29,38.13,39.38,45.04,47.37,44.26,43.62,33.03
GPN,99.56,73.13,62.58,40.33,32.73,23.07,24.11,23.4,26.34,17.09,22.64,24.53,24.14,14.43,11.88
GPS,33.87,24.2,25.51,42.1,38.72,31.37,18.88,22.22,20.54,14.07,20.32,19.44,17.62,20.97,22.53
GWW,235.71,236.33,202.12,255.22,253.06,207.73,187.87,139.54,97.24,80.59,85.51,70.78,71.49,65.1,47.36
HBAN,14.6,13.48,10.7,10.5,9.54,6.57,5.68,7.11,3.68,7.98,14.3,24,24.22,24.65,22.29
HBI,21.3,22.6,29.28,27.65,17.39,8.9,5.63,6.4,6.18,3.3,6.62,6.02,6.02,6.02,6.02
HCA,89.51,77.13,66.29,73.97,47.77,31.3,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8
HD,188.03,135.5,131.07,103.43,82.02,63.48,42.74,35.31,28.67,24.13,26.11,40.57,40.48,43.1,35.02
HIG,55.27,48.55,42.69,41.79,35.4,23.71,16.56,27.77,23.86,17.09,84.93,93.25,88.64,68.8,58.98
HOG,52.06,59.59,45.52,65.79,68.56,49.99,39.66,34.94,25.46,18.4,45.61,70.66,50.7,59.9,47.2
HON,152,115.2,100.86,98.55,88.81,63.67,54.6,53.3,39.68,34.08,58.9,44.33,36.69,34.71,32.77
HSIC,56.03,61.36,60.86,53.63,44.48,32.31,25.7,24.61,20.94,14.89,23.23,19.17,17.15,13.34,13.08
HUM,251.64,197.78,179.75,142.99,102.84,68.44,89.93,55.1,45.68,37.27,78.12,55.35,56.87,29.16,22.93
ICE,69.85,57.21,50.28,43.53,44.92,24.98,23.4,23.83,22.57,16.91,37.1,24.2,7.38,7.38,7.38
IDXX,157.81,115.95,71.12,73.67,52.52,47.03,39.49,34.88,27.04,18.3,29.09,19.85,18.22,13.69,11.75
IEX,131.68,91.64,75.74,77.88,72.63,47.93,37.41,39.73,31.65,25.99,35.58,31.32,27.89,26.25,18.39
INCY,100.89,102.84,103.32,73.76,51.23,17,14.78,16.52,9.5,3.85,9.98,6.19,5.3,9.64,6.82
INFO,45.55,36.2,29.54,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
INTC,46.85,36.41,33.99,36.36,25.79,21.38,25.11,20.85,20.88,15.2,25.35,21.17,25.91,23.07,32.16
IPGP,222.34,100.07,85.84,73.98,76.16,68.14,35.93,32.03,17.37,13.39,19.6,24.09,24.09,24.09,24.09
IR,88.75,76.12,55.14,63.26,61.24,39.49,25.43,38.04,28.94,15.02,35.84,30.93,32.91,31.48,26.75
ISRG,375.25,209.83,182.46,175.19,126.67,165.84,155.65,89.67,102.92,44.14,107.98,31.73,40.69,12.58,5.65
IT,124.85,101.79,88.13,83.6,69.8,47.42,34.8,33.53,18.7,18.47,17.14,20.7,13.55,12.35,11.45
ITW,165.27,122.99,91.06,94.68,83.19,61.98,48.28,54.39,48.57,36.67,52.17,46.17,44.92,46.08,41.32
IVZ,36.35,31.77,33.19,39.14,35.87,26.96,20.35,24.46,23.34,15,30.4,23.2,16.11,12.45,14.8
JBHT,116.09,97.82,71.32,83.22,76.6,61.04,45.35,41.64,33.06,26.72,26.03,23.15,22.66,22.05,13.71
JCI,38.23,42.49,29.79,40.87,38.1,28.65,15.25,13.39,11.52,7.22,12.45,27.82,26.88,32.02,24.4
JEC,66.87,58.78,41.92,44.64,62.88,43.75,41.52,46.98,38.45,50.42,96.62,39.53,34.66,23.19,23.64
JKHY,116.19,89.74,76.53,62.21,58.16,40.85,32.97,29.7,23.85,19.56,23.88,21.64,19.58,20.88,20.63
